chr1	860321	861218
chr1	873259	874127
chr1	919384	920076
chr1	950504	951497
chr1	954472	955135
chr1	994612	995550
chr1	999203	999817
chr1	1057410	1057959
chr1	1165946	1166713
chr1	1225220	1225791
chr1	1279893	1280454
chr1	1284969	1285749
chr1	1307555	1308080
chr1	1695377	1695964
chr1	1707156	1707985
chr1	1710149	1710827
chr1	1720563	1721562
chr1	1837688	1838300
chr1	1840117	1840979
chr1	1875400	1875986
chr1	1891175	1891872
chr1	1975777	1976876
chr1	1977616	1978388
chr1	1980885	1981498
chr1	1985381	1986330
chr1	2040181	2040733
chr1	2062227	2063006
chr1	2071320	2071842
chr1	2105416	2106088
chr1	2126537	2127318
chr1	2144169	2145141
chr1	2175785	2176445
chr1	2246108	2246798
chr1	2313039	2313645
chr1	2323353	2324041
chr1	2345644	2346581
chr1	2446757	2447710
chr1	2479154	2479917
chr1	2486066	2487189
chr1	2702604	2703860
chr1	2717908	2718597
chr1	2738628	2739162
chr1	2792259	2793078
chr1	2838670	2839362
chr1	2839371	2840216
chr1	2928988	2929586
chr1	2982480	2983353
chr1	2986311	2987263
chr1	3200498	3201214
chr1	3236730	3237400
chr1	3326481	3327334
chr1	3341243	3341880
chr1	3369759	3370262
chr1	3370572	3371392
chr1	3388121	3388934
chr1	3390724	3391368
chr1	3399053	3399662
chr1	3400194	3400947
chr1	3407848	3408417
chr1	3441116	3441946
chr1	3446765	3447445
chr1	3481536	3482409
chr1	3504692	3505353
chr1	3531440	3531960
chr1	3531991	3532555
chr1	3535311	3536205
chr1	3541741	3542638
chr1	3611847	3613319
chr1	3640262	3641592
chr1	3773658	3774209
chr1	3816150	3816680
chr1	3827287	3827918
chr1	4232942	4233768
chr1	4837849	4838801
chr1	4885907	4886745
chr1	5569676	5570591
chr1	5574432	5575288
chr1	5658666	5659216
chr1	5680008	5681767
chr1	5696439	5697757
chr1	5698350	5699212
chr1	5700861	5701569
chr1	5805831	5806516
chr1	6040222	6041069
chr1	6094196	6094740
chr1	6101510	6102150
chr1	6112690	6113387
chr1	6140633	6141300
chr1	6159496	6160350
chr1	6165639	6166156
chr1	6168733	6169463
chr1	6169964	6170520
chr1	6231663	6232197
chr1	6233172	6233731
chr1	6265026	6265811
chr1	6269510	6270324
chr1	6305074	6305749
chr1	6306691	6307322
chr1	6310052	6310870
chr1	6318056	6319053
chr1	6340596	6341310
chr1	6403365	6403947
chr1	6407736	6408616
chr1	6422535	6423373
chr1	6437857	6438446
chr1	6456849	6457441
chr1	6464811	6465417
chr1	6483291	6484553
chr1	6497785	6498792
chr1	6504901	6505572
chr1	6535285	6535888
chr1	6542743	6543385
chr1	6546119	6547144
chr1	6549914	6550553
chr1	6583706	6584273
chr1	6761828	6762484
chr1	6779967	6780696
chr1	6853813	6854586
chr1	7058231	7058885
chr1	7102502	7103478
chr1	7130256	7131122
chr1	7246529	7247323
chr1	7267755	7268544
chr1	7284891	7285395
chr1	7288202	7289199
chr1	7513863	7514767
chr1	7599622	7600410
chr1	7621294	7622023
